player,distance,accuracy
Aaron Baddeley,294.1,50.29
Adam Hadwin,288.2,65.43
Adam Scott,311.6,60.69
Alex Cejka,283.3,63.78
Alex Prugh,295.2,62.03
Andres Gonzales,294.5,58.06
Andres Romero,295.4,52.67
Andrew Putnam,278.7,54.98
Andrew Svoboda,287.1,59.32
Angel Cabrera,299.7,55.9
Ben Crane,271,67.49
Ben Martin,288.5,65.63
Bill Haas,291.8,63.25
Bill Lunde,287.7,63.59
Billy Horschel,295.4,63.99
Billy Hurley III,271.7,65.91
Blayne Barber,288.6,63.72
Bo Van Pelt,289.5,60.73
Boo Weekley,292,63.27
Branden Grace,300.3,59.46
Brandt Snedeker,289.4,61.58
Brendan Steele,302.9,60.61
Brendon de Jonge,285.5,65.89
Brendon Todd,276.5,70.42
Brian Davis,275.5,67.66
Brian Harman,288,64.04
Brian Stuard,276.5,69.31
Brice Garnett,287.1,61.25
Brooks Koepka,309.1,57.84
Bryce Molder,278,66.58
Bubba Watson,318.1,57.19
Byron Smith,291.9,58.15
Cameron Percy,290,60.31
Cameron Tringale,282,67.91
Camilo Villegas,292.2,54.12
Carl Pettersson,291.6,59.05
Carlos Ortiz,298.4,59.84
Carlos Sainz Jr,289.2,58.35
Chad Campbell,284,65.75
Chad Collins,278.4,63.82
Charl Schwartzel,300.4,60.81
Charles Howell III,302.7,52.43
Charley Hoffman,300.1,58.34
Charlie Beljan,309.8,62.61
Chesson Hadley,290.7,56.87
Chez Reavie,286.3,71.89
Chris Kirk,286.1,61.22
Chris Stroud,283,64.22
Colt Knost,276.6,71.24
D.A. Points,280.8,56.37
Daniel Berger,302.6,60.9
Daniel Summerhays,284.5,61.61
Danny Lee,283.5,63.83
David Hearn,281.1,64
David Lingmerth,290.2,65.31
David Toms,270,74.5
Davis Love III,294.7,64.94
Derek Ernst,295.1,64.3
Derek Fathauer,288.8,51.63
Dustin Johnson,319,55.11
Eric Axley,286.4,55.54
Erik Compton,288.4,59.31
Ernie Els,291.7,56.79
Fabian Gomez,283.1,61.16
Francesco Molinari,281.6,76.88
Freddie Jacobson,277.4,58.77
Gary Woodland,305.9,56.26
Geoff Ogilvy,293.7,59.59
George McNeill,286.3,63.77
Gonzalo Fdez-Castano,289.3,60.97
Graham DeLaet,298.7,65.46
Greg Chalmers,281.5,62.17
Greg Owen,293.8,59.63
Harris English,298.9,58.63
Heath Slocum,275.8,69.51
Henrik Stenson,298.8,69.67
Hideki Matsuyama,295.6,65.43
Hudson Swafford,298.9,63.34
Hunter Mahan,295.5,59.27
Ian Poulter,287.2,63.53
J.B. Holmes,310.5,54.65
J.J. Henry,292.3,60.29
James Hahn,295.1,59.62
Jamie Donaldson,294.9,60.09
Jason Bohn,277.3,71.67
Jason Day,314.6,56.34
Jason Dufner,286.7,67.81
Jason Gore,290.4,66.67
Jason Kokrak,305.6,56.41
Jeff Overton,284.8,58.87
Jerry Kelly,277.6,70.02
Jhonattan Vegas,299.9,56.01
Jim Furyk,281.9,69.08
Jim Herman,293.8,67.1
Jim Renner,283.3,57.44
Jimmy Walker,302.2,52.27
John Huh,279.8,69.44
John Merrick,285,68.32
John Peterson,288.1,67.52
John Senden,290.2,66.6
Johnson Wagner,290.7,62.11
Jon Curran,273.5,67.46
Jonas Blixt,287.6,60.26
Jonathan Byrd,287.6,65.6
Jonathan Randolph,287,55.19
Jordan Spieth,292.5,63.04
Justin Leonard,271.6,71.7
Justin Rose,305.2,64.43
Justin Thomas,303,58.14
K.J. Choi,276.5,64.09
Keegan Bradley,306,64.79
Ken Duke,278.1,67.91
Kevin Chappell,294,63.32
Kevin Kisner,288.9,68.03
Kevin Na,280.3,62.1
Kevin Streelman,289.5,68.63
Kyle Reifers,288,61.59
Lee Westwood,300,59.7
Louis Oosthuizen,299,59.41
Lucas Glover,296.9,63.82
Luke Donald,277,59.28
Luke Guthrie,283.9,58.86
Marc Leishman,294.8,54.99
Mark Hubbard,278.5,66.32
Mark Wilson,279.2,64.53
Martin Flores,296.8,56.83
Martin Laird,300.5,58.54
Matt Every,286.6,51.52
Matt Jones,296.2,59.91
Matt Kuchar,289.5,63.55
Max Homa,294.2,56.45
Michael Putnam,288.8,61.47
Michael Thompson,289.3,58.24
Morgan Hoffmann,296.1,54.83
Nicholas Thompson,286.1,68.7
Nick Taylor,292.3,56.05
Nick Watney,294.1,60.6
Oscar Fraustro,289.5,61.78
Padraig Harrington,290.5,51.72
Pat Perez,284.8,66.46
Patrick Reed,294.6,54.26
Patrick Rodgers,307.7,56.97
Paul Casey,298.7,63.37
Phil Mickelson,300.7,55.7
Retief Goosen,292.6,56.57
Rickie Fowler,297.3,63.03
Ricky Barnes,283.2,54.1
Robert Allenby,282.7,63.06
Robert Garrigus,301.7,56.72
Robert Streb,298.3,59.44
Roberto Castro,279.8,65.76
Roger Sloan,293.6,59.45
Rory Sabbatini,289.8,60
Russell Henley,297.5,64.39
Russell Knox,284.8,67.68
Ryan Armour,273.7,65.96
Ryan Moore,283.2,69.39
Ryan Palmer,305.7,56.44
Ryo Ishikawa,289.2,56.39
S.J. Park,283.7,65.73
Sam Saunders,293.5,64
Sangmoon Bae,290.9,59.49
Scott Brown,288.2,62.77
Scott Langley,280.4,61.9
Scott Piercy,296.9,59.25
Scott Pinckney,290.3,60.95
Scott Stallings,291.8,57.74
Sean O'Hair,295.8,60.91
Sergio Garcia,300.5,60.33
Seung-Yul Noh,292.7,54.87
Shawn Stefani,296.5,62.28
Spencer Levin,283.7,69.09
Steve Wheatcroft,288.3,63.03
Steven Alker,278.3,71.41
Steven Bowditch,302.9,54.01
Stewart Cink,293.6,57.35
Tim Wilkinson,279.1,63.09
Tom Gillis,281.8,62.07
Tom Hoge,292.2,58.84
Tony Finau,309.2,54.05
Trevor Immelman,295.7,58.92
Troy Merritt,285.1,62.92
Tyrone Van Aswegen,285.6,53.39
Vaughn Taylor,286.1,67.75
Vijay Singh,290.6,60.06
Webb Simpson,290,67.66
Whee Kim,282.4,60.4
Will MacKenzie,284.2,67.6
Will Wilcox,296.6,68.98
William McGirt,280.7,67.8
Zac Blair,273.3,67.62
Zach Johnson,283.4,71.54
Zack Sucher,284.6,57.5
